epoch,Base(A->A),Base(A->B),Base(A->C),MMD(A->B),MMD(A->C),DANN(A->B),DANN(A->C)
1,41.81,22.32,19.3,25.89,31.58,29.46,23.98
2,61.85,35.71,39.18,38.39,39.77,41.07,36.26
3,67.94,38.39,35.09,44.64,39.77,41.07,40.94
4,72.13,36.61,36.84,41.96,44.44,46.43,43.86
5,74.04,33.04,39.77,44.64,44.44,44.64,46.2
6,75.96,33.93,36.84,48.21,45.03,48.21,45.03
7,75.96,33.04,38.6,47.32,43.86,48.21,47.37
8,76.66,36.61,38.6,49.11,45.03,49.11,44.44
9,77.35,36.61,39.77,46.43,49.71,47.32,45.03
10,78.57,40.18,36.26,47.32,48.54,49.11,50.29
best,78.57,40.18,39.77,49.11,49.71,49.11,50.29
